Index,Workload,IPC,hitsL3
1,bwaves-dealII-h264ref-hmmer-wrf-ep.C-ft.C-sp.B,17.30907,749395990.0
2,bwaves-gobmk-gromacs-namd-tonto-bt.B-cg.B-cg.C,15.55241,11995300690.0
3,astar-gobmk-h264ref-leslie3d-namd-tonto-zeusmp-bt.C,15.984832999999998,513235720.0
4,calculix-gobmk-milc-wrf-bt.C-cg.C-ep.C-ua.B,15.11318,5898648920.0
5,bwaves-gobmk-perlbench-ep.B-ep.C-ft.C-sp.B-ua.B,15.8314,825356950.0
6,xalancbmk-bwaves-calculix-dealII-gromacs-leslie3d-sjeng-cg.B,15.062780000000002,7644736260.0
7,lu.C-bzip2-dealII-gromacs-leslie3d-milc-ep.B-ft.B,15.130515999999998,1011975540.0
8,libquantum-hmmer-milc-sjeng-ep.B-ep.C-ft.B-mg.C,14.827584,425934810.0
9,sp.C-astar-gamess-gobmk-h264ref-povray-bt.C-ft.B,17.552449000000003,636081080.0
10,sphinx3-bwaves-bzip2-gobmk-povray-zeusmp-bt.C-cg.C,14.635880000000002,6529680660.0
11,dc.B-sp.C-astar-perlbench-sjeng-tonto-wrf-bt.C,16.641284,991875460.0
12,soplex-lu.C-calculix-tonto-wrf-zeusmp-ep.B-ep.C,14.68969,1321651940.0
13,lu.C-sp.C-gobmk-h264ref-hmmer-leslie3d-povray-tonto,16.227349999999998,499425880.0
14,sphinx3-omnetpp-calculix-gobmk-gromacs-h264ref-leslie3d-ep.B,14.081888,1943329900.0
15,xalancbmk-mcf-bzip2-calculix-gobmk-milc-ft.C-mg.C,13.249813,3426668500.0
16,libquantum-dc.B-lu.C-astar-gamess-hmmer-povray-bt.B,15.76473,870681780.0
17,sphinx3-mcf-sp.C-astar-bwaves-dealII-gamess-milc,12.817623,2512502800.0
18,xalancbmk-mcf-lu.C-astar-h264ref-leslie3d-povray-cg.C,12.107615000000001,8044361400.0
19,xalancbmk-lu.B-lu.C-astar-calculix-dealII-gromacs-wrf,15.151705,1722968000.0
20,libquantum-lbm-lu.C-gamess-gobmk-leslie3d-namd-povray,15.104040000000001,547370620.0
21,soplex-libquantum-lu.B-sp.C-calculix-gobmk-perlbench-bt.B,15.726932,1668639300.0
22,xalancbmk-sphinx3-soplex-sp.C-dealII-gamess-zeusmp-bt.B,15.049305,2128556300.0
23,soplex-dc.B-lu.B-lu.C-bwaves-gamess-gromacs-cg.C,13.116868,7769841300.0
24,sphinx3-libquantum-lbm-sp.C-bzip2-gromacs-hmmer-leslie3d,12.694580000000002,1429190240.0
25,xalancbmk-omnetpp-libquantum-sp.C-astar-gobmk-gromacs-milc,11.132811,2729005700.0
26,xalancbmk-soplex-omnetpp-mcf-sp.C-bwaves-dealII-gamess,12.056048999999998,4273052100.0
27,soplex-dc.B-lu.B-lu.C-sp.C-astar-h264ref-leslie3d,11.470602000000001,2195336800.0
28,sphinx3-omnetpp-mcf-lbm-dc.B-dealII-leslie3d-namd,11.932694,3648223190.0
29,xalancbmk-sphinx3-lbm-dc.B-sp.C-bzip2-leslie3d-povray,11.663355000000001,2167492540.0
30,xalancbmk-soplex-mcf-dc.B-lu.C-astar-bzip2-dealII,10.083492000000001,3947457000.0
31,soplex-omnetpp-mcf-lbm-lu.B-lu.C-calculix-milc,8.593491,3536635000.0
32,xalancbmk-libquantum-lbm-lu.B-lu.C-sp.C-calculix-gamess,12.182996000000001,1166229200.0
33,xalancbmk-omnetpp-mcf-lbm-dc.B-lu.C-astar-gamess,9.735736,4156920700.0
34,xalancbmk-sphinx3-omnetpp-dc.B-lu.C-sp.C-bzip2-calculix,11.355569000000001,2762915100.0
35,xalancbmk-sphinx3-soplex-dc.B-lu.C-sp.C-bwaves-bzip2,10.307707,2764291000.0
36,xalancbmk-sphinx3-omnetpp-mcf-libquantum-dc.B-sp.C-bwaves,9.554679,3758782000.0
37,xalancbmk-soplex-mcf-libquantum-lbm-dc.B-lu.B-astar,8.137019,3100857800.0
38,xalancbmk-sphinx3-soplex-omnetpp-libquantum-lbm-sp.C-astar,8.366199,2873616300.0
39,sphinx3-soplex-mcf-libquantum-lbm-dc.B-lu.B-astar,8.445500000000001,3189814500.0
40,xalancbmk-mcf-lbm-dc.B-lu.B-lu.C-sp.C-bzip2,8.440314,3274921700.0
41,sphinx3-soplex-omnetpp-lbm-dc.B-lu.B-lu.C-sp.C,7.876358000000001,3078357000.0
42,sphinx3-soplex-omnetpp-libquantum-dc.B-lu.B-lu.C-sp.C,9.247546,3186614000.0
43,soplex-mcf-libquantum-lbm-dc.B-lu.B-lu.C-sp.C,7.884564000000001,3605654000.0
44,xalancbmk-sphinx3-omnetpp-libquantum-lbm-dc.B-lu.B-lu.C,8.41245,2527297100.0
45,xalancbmk-sphinx3-mcf-lbm-dc.B-lu.B-lu.C-sp.C,7.8207569999999995,2910336000.0
